;;;Missing values;;;;;;;;;;;;;
;;;15-16;;16-17;;;17-18;;;18-19;;;;;
Variable name;Source;Type;3º;6º;3º;6º;4º;3º;6º;4º;6º;4º;Sensitive attribute;Important feature;Transformed variable;Description
id_student;Identifiers;ID;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;--;--;--;Student identifier
id_student_original;Identifiers;ID;1%;2%;0%;0%;0%;0%;0%;0%;1%;0%;--;--;--;Original student ID in the ACCUEE database. IDs might be repeated between years. Missing IDs are because the student questionnaire is missing, but principals, family or teacher questionnaires are available
id_year;Identifiers;ID;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;--;--;--;Academic year
id_grade;Identifiers;ID;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;--;--;--;Grade/level of education. Missing values are because the student questionnaire is missing, but principals, family or teacher questionnaires are available
id_class_group;Identifiers;ID;24%;22%;7%;8%;6%;5%;6%;6%;9%;6%;--;--;--;Class group
id_school;Identifiers;ID;0%;0%;0%;0%;6%;1%;0%;6%;0%;6%;--;--;--;School identifier
id_student_16_19;Identifiers;ID;14%;100%;100%;100%;100%;100%;100%;100%;12%;100%;--;--;--;Panel data information. Identifies the same student in third grade (15-16 academic year) and sixth grade (18-19 academic year)
id_school_16_19;Identifiers;ID;11%;9%;100%;100%;100%;100%;100%;100%;10%;79%;--;--;--;Panel data information. Identifies the same school in third grade (15-16 academic year) and sixth grade (18-19 academic year)
student_questionnaire;Info;Info;--;--;--;--;--;--;--;--;--;--;--;--;--;Identifies if the information of the student questionnaire is available
principals_questionnaire;Info;Info;--;--;--;--;--;--;--;--;--;--;--;--;--;Identifies if the information of the principals questionnaire is available
family_questionnaire;Info;Info;--;--;--;--;--;--;--;--;--;--;--;--;--;Identifies if the information of the family questionnaire is available
teachers_questionnaire;Info;Info;--;--;--;--;--;--;--;--;--;--;--;--;--;Identifies if the information of the teachers questionnaire is available
census;Info;Info;--;--;--;--;--;--;--;--;--;--;--;--;--;Identifies census (1) observations vs sample (0) observations
scores;Info;Info;--;--;--;--;--;--;--;--;--;--;--;--;--;Identifies if the information of the student scores is available
score_MAT;Student scores;Continuous;8%;10%;2%;3%;20%;4%;3%;23%;4%;26%;Yes;Yes;No;Score in Mathematics
level_MAT;Student scores;Categorical;8%;10%;2%;3%;20%;4%;3%;23%;4%;26%;Yes;Yes;No;Proficiency levels in Mathematics
score_LEN;Student scores;Continuous;8%;9%;2%;3%;8%;4%;2%;6%;5%;9%;Yes;Yes;No;Score in Spanish Language
level_LEN;Student scores;Categorical;8%;9%;2%;3%;8%;4%;2%;6%;5%;9%;Yes;Yes;No;Proficiency levels in Spanish Language
score_ING;Student scores;Continuous;100%;10%;100%;4%;12%;100%;2%;9%;4%;12%;Yes;Yes;No;Score in English
level_ING;Student scores;Categorical;100%;10%;100%;4%;12%;100%;2%;9%;4%;12%;Yes;Yes;No;Proficiency levels in English
a1;Student questionnaire;Categorical;4%;7%;7%;8%;6%;5%;6%;6%;1%;0%;Yes;Yes;No;Sex
a2;Student questionnaire;Categorical;11%;10%;7%;8%;7%;5%;6%;6%;100%;100%;No;No;No;Birth year
a3a;Student questionnaire;Categorical;13%;12%;7%;8%;6%;100%;100%;12%;100%;13%;No;No;No;Living with the mother
a3b;Student questionnaire;Categorical;19%;20%;7%;8%;6%;100%;100%;35%;100%;37%;No;No;No;Living the father
living_with_father_mother;Student questionnaire;Categorical;20%;21%;7%;8%;6%;100%;100%;39%;100%;41%;No;No;Yes;Transformation of a3a and a3b. Living with the father and the mother
a3c;Student questionnaire;Categorical;27%;28%;7%;8%;6%;100%;100%;48%;100%;52%;No;No;No;Living with brother/sister
a3d;Student questionnaire;Categorical;51%;54%;7%;8%;6%;100%;100%;91%;100%;92%;No;No;No;Living with other relatives
a3et;Student questionnaire;Categorical;58%;60%;7%;8%;6%;100%;100%;93%;100%;94%;No;No;No;Living with other people
a3f;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;99%;100%;99%;No;No;No;Living in foster homes
a4;Student questionnaire;Categorical;14%;18%;7%;8%;6%;5%;6%;100%;10%;100%;Yes;Yes;No;Has repeated one or two times
repeater;Student questionnaire;Categorical;14%;18%;7%;8%;6%;5%;6%;100%;10%;100%;Yes;Yes;Yes;Transformation of A4. Has repeated one or more times
a5;Student questionnaire;Categorical;12%;10%;7%;8%;100%;5%;6%;100%;10%;100%;No;Yes;No;Frequency has missed class unexcused this course
a6nm;Student questionnaire;Continuous;42%;31%;24%;21%;100%;100%;100%;100%;100%;100%;No;Yes;No;homework hours/day
a7;Student questionnaire;Categorical;10%;9%;7%;8%;100%;5%;6%;100%;10%;100%;No;Yes;No;homework days/week
a8a;Student questionnaire;Categorical;12%;11%;7%;8%;6%;100%;6%;6%;10%;6%;No;Yes;No;Frequency of computer use at home
a8b;Student questionnaire;Categorical;18%;15%;7%;8%;6%;100%;6%;6%;10%;7%;No;Yes;No;Frequency of computer use at school
a8c;Student questionnaire;Categorical;20%;17%;100%;8%;6%;100%;6%;6%;10%;7%;No;No;No;Frequency of computer use elsewhere
a09a;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: Students pay attention to what the teachers say
a09b;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: There is silence and order
a09c;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: The teacher has to wait a long time for the students to shut up
a09d;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: Students can work in good conditions
a09e;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: Students do not start working long after the class has started
a9a;Student questionnaire;Categorical;12%;11%;100%;8%;6%;100%;6%;6%;10%;6%;No;No;No;Frequency I use the internet: information about studies
a9b;Student questionnaire;Categorical;15%;12%;100%;8%;6%;100%;6%;6%;10%;6%;No;No;No;Frequency I use the internet: play/search for info about games
a9c;Student questionnaire;Categorical;15%;13%;100%;8%;6%;100%;6%;6%;10%;6%;No;No;No;Frequency I use the internet: search for information on sports
a9d;Student questionnaire;Categorical;15%;12%;100%;8%;6%;100%;6%;6%;10%;6%;No;No;No;Frequency I use the Internet: search for information about music
a9e;Student questionnaire;Categorical;15%;12%;100%;8%;6%;100%;6%;6%;10%;6%;No;No;No;Frequency I use the Internet: search for information on other topics
a9f;Student questionnaire;Categorical;15%;12%;100%;8%;6%;100%;6%;6%;10%;6%;No;No;No;Frequency I use the internet: communicate with other people
a9g;Student questionnaire;Categorical;100%;100%;100%;8%;6%;100%;6%;6%;10%;6%;No;No;No;Frequency I use the internet: use of social media networks
a10a;Student questionnaire;Categorical;13%;11%;7%;8%;6%;5%;6%;6%;10%;7%;No;No;No;Work with teachers: they explain most of the class
a10b;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Work with teachers: we do presentations of certain topics
a10c;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Work with teachers: while they explain they ask us
a10d;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Work with teachers: while they explain, we ask them
a10e;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;6%;10%;7%;No;No;No;Work with teachers: we make debates
a10f;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;10%;7%;No;No;No;Work with teachers: we do exercises
a10g;Student questionnaire;Categorical;14%;11%;7%;8%;6%;100%;6%;6%;10%;7%;No;No;No;Work with teachers: we work individually
a10h;Student questionnaire;Categorical;15%;12%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Work with teachers: we work in small groups
a10i;Student questionnaire;Categorical;15%;12%;100%;8%;6%;100%;6%;6%;10%;7%;No;No;No;Work with teachers: we take notes
a10j;Student questionnaire;Categorical;14%;11%;7%;8%;6%;100%;6%;6%;10%;7%;No;No;No;Work with teachers: we study individually and then they ask us
a10k;Student questionnaire;Categorical;14%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Work with teachers: They introduce the activitities
a10l;Student questionnaire;Categorical;14%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Work with teachers: they make us feel good
a10m;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Work with teachers: I listen to the explanation
a10n;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Work with teachers: I understand what they explain
a11a;Student questionnaire;Categorical;12%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Materials in class: textbook
a11b;Student questionnaire;Categorical;13%;12%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Materials in class: library books
a11c;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;7%;10%;7%;No;No;No;Materials in class: newspapers or magazines
a11d;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Materials in class: computers or tablets
a11e;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;7%;10%;7%;No;No;No;Materials in class: videos
a11f;Student questionnaire;Categorical;14%;12%;7%;8%;100%;100%;6%;100%;10%;100%;No;No;No;Materials in class: school agenda
a11g;Student questionnaire;Categorical;14%;12%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Materials in class: material prepared by the teacher
a11h;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Materials in class: digital whiteboard
a12a;Student questionnaire;Categorical;12%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They ask us about what we know before starting a topic
a12b;Student questionnaire;Categorical;13%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: We are examined after each topic
a12c;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: We have a single exam in each trimester
a12d;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They correct our homework and notebooks
a12e;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They review the activities that we do in class
a12f;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: We have oral exams
a12g;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They take into account our self-evaluation
a12h;Student questionnaire;Categorical;14%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They value interest and participation in class
a12i;Student questionnaire;Categorical;14%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: Our behavior influences the scores
a13a;Student questionnaire;Categorical;12%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: We get along  with teachers
a13b;Student questionnaire;Categorical;13%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: Teachers care about us
a13c;Student questionnaire;Categorical;13%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: Teachers listen to us
a13d;Student questionnaire;Categorical;13%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: I receive help from my teachers
a13e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;No;No;Degree of agreement: The teachers are fair
a14a;Student questionnaire;Categorical;12%;11%;7%;8%;6%;6%;6%;6%;10%;6%;No;Yes;No;Degree of agreement: I make friends easily
a14b;Student questionnaire;Categorical;14%;12%;7%;8%;6%;100%;6%;6%;10%;6%;No;Yes;No;Degree of agreement: I feel comfortable with my classmates
a14c;Student questionnaire;Categorical;16%;14%;100%;100%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I feel alone
a14d;Student questionnaire;Categorical;14%;12%;7%;8%;6%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: My classmates leave me out of their games
a14e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;7%;No;Yes;No;Degree of agreement: I am afraid of my classmates
a14f;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: The attitude of my classmates towards me bothers me
a14g;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I like to be with my classmates
a14h;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;11%;7%;No;Yes;No;Degree of agreement: My classmates help me in class
a15a;Student questionnaire;Categorical;12%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: I know what my teachers expect me to do
a15b;Student questionnaire;Categorical;13%;11%;7%;8%;100%;5%;6%;100%;11%;100%;No;No;No;Degree of agreement: It is easy to understand my teachers
a15c;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: I am interested in what my teachers say
a15d;Student questionnaire;Categorical;13%;11%;7%;8%;100%;6%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers propose interesting things
a15e;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers clearly answer my questions
a15f;Student questionnaire;Categorical;13%;11%;7%;8%;100%;6%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers are good at explaining
a15g;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers let me demonstrate what I have learned
a15h;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers do different things to help us learn
a15i;Student questionnaire;Categorical;13%;11%;7%;8%;100%;5%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers tell me how to improve when I am wrong
a15j;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers listen to me
a16a;Student questionnaire;Categorical;12%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: The activities are fun
a16b;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Degree of agreement: The teacher is happy with the group
a16c;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Degree of agreement: Students participate in decision-making
a16d;Student questionnaire;Categorical;13%;11%;100%;100%;6%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: Students help each other
a16e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Degree of agreement: In my class they respect me and I feel safe
a16f;Student questionnaire;Categorical;13%;11%;7%;8%;100%;5%;6%;100%;10%;100%;No;No;No;Degree of agreement: I like the organization and decoration of my class
a16g;Student questionnaire;Categorical;13%;11%;7%;8%;100%;6%;6%;100%;10%;100%;No;No;No;Degree of agreement: I really like working in class
a16h;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;11%;7%;No;No;No;Degree of agreement: In class there is a good working environment
a16i;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: I really like the work in mathematics
a16j;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement:  I really like the spanish language work
a16k;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: I really like the english work
a16l;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: I really like the work in geography and history
a17a;Student questionnaire;Categorical;12%;10%;7%;8%;6%;100%;6%;6%;11%;6%;No;No;No;Degree of agreement: In my school there are appropriate rules/norms
a17b;Student questionnaire;Categorical;12%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: My school is very good
a17c;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I like being in this school
a17d;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I would like to change to other school
a17e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I feel safe in this school
a17f;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I feel part of this school
a17g;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I am proud to go to this school
a17h;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I learn a lot at school
a20a;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I am a good student in mathematics
a20b;Student questionnaire;Categorical;100%;100%;7%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I wish I did not have mathematics
a20c;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Mathematics is more difficult for me than for my classmates
a20d;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Mathematics is more difficult than other subjects
a20e;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I like studying in the math class
a21a;Student questionnaire;Categorical;100%;100%;7%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I read because I have to
a21b;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I read very well
a21c;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Language is more difficult for me than for my classmates
a21d;Student questionnaire;Categorical;100%;100%;7%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: It is difficult for me to read
a21e;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Language is more difficult than other subjects
a22a;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I am a good student in Natural Sciences
a22b;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I wish I dit not have Nature Sciences
a22c;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Natural Sciences is more difficult for me than for my classmates
a22d;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Natural Sciences is more difficult than other subjects
a23a;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I am concerned that the written tests are difficult
a23b;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: In the written tests I feel very nervous
a23c;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I want to have the best scores in my class
a23d;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I want to have the best scores possible
a23e;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: I prefer to work individually than in a group
a23f;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: I listen to others
a23g;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: I like to know different points of view
a23h;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: I take into account the opinions and interests of my classmates
a23i;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: I like cooperative work
a23j;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: Better decisions are taken in a group than individually
a23k;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I am happy with the scores I have
